,0.0_f1-score,0.0_precision,0.0_recall,0.0_support,0_f1-score,0_precision,0_recall,0_support,1.0_f1-score,1.0_precision,1.0_recall,1.0_support,1_f1-score,1_precision,1_recall,1_support,auroc,best_profit,best_profit_ration,best_threshold,f1_score,macro avg_f1-score,macro avg_precision,macro avg_recall,macro avg_support,micro avg_f1-score,micro avg_precision,micro avg_recall,micro avg_support,model_type,params,precision,recall,weighted avg_f1-score,weighted avg_precision,weighted avg_recall,weighted avg_support
0,,,,,0.94014598540146,0.936046511627907,0.9442815249266863,341.0,,,,,0.6371681415929203,0.6545454545454545,0.6206896551724138,58.0,0.8954393770856507,231,0.4978448275862069,0.325,0.6371681415929203,0.7886570634971901,0.7952959830866808,0.78248559004955,399,0.8972431077694235,0.8972431077694235,0.8972431077694235,399,xgboost,,0.6545454545454545,0.6206896551724138,0.8961040933190156,0.8951265584680517,0.8972431077694235,399
0,,,,,0.930635838150289,0.9173789173789174,0.9442815249266863,341.0,,,,,0.5471698113207547,0.6041666666666666,0.5,58.0,0.8889169784609162,175,0.3771551724137931,0.5,0.5471698113207547,0.7389028247355218,0.760772792022792,0.7221407624633431,399,0.8796992481203008,0.8796992481203008,0.8796992481203008,399,adaboost,,0.6041666666666666,0.5,0.8748939094382265,0.8718493170247558,0.8796992481203008,399
0,,,,,0.8861538461538461,0.9320388349514563,0.844574780058651,341.0,,,,,0.5,0.4111111111111111,0.6379310344827587,58.0,0.8267266659925169,137,0.2952586206896552,0.2,0.5,0.693076923076923,0.6715749730312837,0.7412529072707048,399,0.8145363408521303,0.8145363408521303,0.8145363408521303,399,gradientboost,,0.4111111111111111,0.6379310344827587,0.8300212068633122,0.8563150054207795,0.8145363408521303,399
0,,,,,0.9226277372262773,0.9186046511627907,0.9266862170087976,341.0,,,,,0.5309734513274337,0.5454545454545454,0.5172413793103449,58.0,0.852310648194964,165,0.35560344827586204,0.4,0.5309734513274337,0.7268005942768555,0.732029598308668,0.7219637981595712,399,0.8671679197994987,0.8671679197994987,0.8671679197994987,399,ensemble,"dict_keys(['neural_net', 'dt', 'nb', 'logr'])",0.5454545454545454,0.5172413793103449,0.8656955352660445,0.8643622799069556,0.8671679197994987,399
0,0.9411764705882353,0.8888888888888888,1.0,40.0,,,,,0.0,0.0,0.0,5.0,,,,,0.5750000000000001,0,0.0,0.025,0.0,0.47058823529411764,0.4444444444444444,0.5,45,0.8888888888888888,0.8888888888888888,0.8888888888888888,45,grid_search_MLP,"{'mlpc__hidden_layer_sizes': (5, 5), 'mlpc__learning_rate_init': 0.01}",0.0,0.0,0.8366013071895425,0.7901234567901235,0.8888888888888888,45
0,0.9,0.9,0.9,40.0,,,,,0.20000000000000004,0.2,0.2,5.0,,,,,0.525,-4,-0.1,0.45,0.20000000000000004,0.55,0.55,0.55,45,0.8222222222222222,0.8222222222222222,0.8222222222222222,45,decision_tree,"{'dt__criterion': 'gini', 'dt__max_depth': 5, 'dt__max_features': None, 'dt__min_samples_split': 50}",0.2,0.2,0.8222222222222222,0.8222222222222222,0.8222222222222222,45
0,0.9268292682926829,0.9047619047619048,0.95,40.0,,,,,0.25,0.3333333333333333,0.2,5.0,,,,,0.62,2,0.05,0.9750000000000001,0.25,0.5884146341463414,0.6190476190476191,0.575,45,0.8666666666666667,0.8666666666666667,0.8666666666666667,45,naive_bayes,{'nb__alpha': 0.25},0.3333333333333333,0.2,0.8516260162601625,0.8412698412698412,0.8666666666666667,45
0,0.9210526315789473,0.9722222222222222,0.875,40.0,,,,,0.5714285714285714,0.4444444444444444,0.8,5.0,,,,,0.81,17,0.425,0.325,0.5714285714285714,0.7462406015037594,0.7083333333333333,0.8375,45,0.8666666666666667,0.8666666666666667,0.8666666666666667,45,logistic_regression,"{'lr__C': 4.281332398719396, 'lr__penalty': 'l1', 'lr__solver': 'liblinear'}",0.4444444444444444,0.8,0.882205513784461,0.9135802469135802,0.8666666666666667,45
0,0.9113924050632911,0.9230769230769231,0.9,40.0,,,,,0.3636363636363636,0.3333333333333333,0.4,5.0,,,,,0.78,4,0.1,0.375,0.3636363636363636,0.6375143843498273,0.6282051282051282,0.65,45,0.8444444444444444,0.8444444444444444,0.8444444444444444,45,xgboost,,0.3333333333333333,0.4,0.8505306226825213,0.8575498575498576,0.8444444444444444,45
0,0.9066666666666667,0.9714285714285714,0.85,40.0,,,,,0.5333333333333333,0.4,0.8,5.0,,,,,0.83,14,0.35,0.47500000000000003,0.5333333333333333,0.72,0.6857142857142857,0.825,45,0.8444444444444444,0.8444444444444444,0.8444444444444444,45,adaboost,,0.4,0.8,0.8651851851851851,0.9079365079365078,0.8444444444444444,45
0,0.9411764705882353,0.8888888888888888,1.0,40.0,,,,,0.0,0.0,0.0,5.0,,,,,0.7,0,0.0,0.35000000000000003,0.0,0.47058823529411764,0.4444444444444444,0.5,45,0.8888888888888888,0.8888888888888888,0.8888888888888888,45,gradientboost,,0.0,0.0,0.8366013071895425,0.7901234567901235,0.8888888888888888,45
